Species	Bacteriocin	Count
Pelagibaca_abyssi_strain_JLT2014	ggmotif	1
Paenibacillus_peoriae_ZBSF16	Gallidermin	1
Bacteroidales_bacterium_38-H	Bacteriocin_IIc,Mersacidin	2
Emergencia_timonensis_CE91-St48	ggmotif	1
Alcaligenes_sp._SORT26	Bacteriocin_IIc,Bacteriocin_IId	2
Mannheimia_sp._16CN0041	Linocin_M18	1
Hahella_chejuensis_KCTC_2396	Bacteriocin_IIc	1
Salmonella_enterica_subsp._enterica_serovar_Borreze_strain_Colony528	Bacteriocin_IIc	1
Paenibacillus_thiaminolyticus_strain_Mbale	Antimicrobial18,Mersacidin	2
Streptomyces_olivaceus_strain_SCSIO_T05	ggmotif,MA-2PEPA,MA-2PEPB	3
Serratia_marcescens_SMB2099_strain_SMB2099	Bacteriocin_IIc	1
Streptococcus_agalactiae_ILRI112	ggmotif	1
Actinomyces_sp._dk561	MA-2PEPA	1
Staphylococcus_aureus_subsp._aureus_str._Newman	Gallidermin,Lactococcin_972	2
Devosia_sp._DDS-1_strain_A16	Linocin_M18	1
Clostridium_botulinum_F_str._Langeland	Bacteriocin_IIc,ggmotif	2
Shewanella_sp._FJAT-53749	Bacteriocin_IIc	1
Phyllobacterium_sp._T1018	Bacteriocin_IIc	1
Alicyclobacillus_acidoterrestris_DSM_3922	Linocin_M18	1
Liberibacter_crescens_BT-1	ggmotif	1
Ignavibacteriae_bacterium_strain_IGN2	ComC	1
Desulfobacterium_autotrophicum_HRM2	Linocin_M18	1
Salmonella_enterica_subsp._enterica_serovar_Nitra_strain_S-1687	Bacteriocin_IIc	1
Ralstonia_pickettii_12J	Bacteriocin_IId	1
Sulfolobus_islandicus_M.16.23	Bacteriocin_IIc,Linocin_M18	2
Keratinibaculum_paraultunense_strain_KD-1	Linocin_M18,Mersacidin	2
Rhodothermus_marinus_SG0.5JP17-172	Bacteriocin_IIi	1
Pseudoalteromonas_sp._JSTW	Bacteriocin_IIc,ComC	2
Vibrio_cholerae_O1_biovar_El_Tor_Inaba	MA-LAC481	1
Methylocella_tundrae_strain_MTUNDRAET4_annotated_genome	Bacteriocin_IIc	1
Bacillus_mesonae_strain_H20-5	Bacteriocin_IIc,LE-DUF	2
Burkholderia_diffusa_strain_RF2-non-BP9	Bacteriocin_IIc,Linocin_M18	2
Streptomyces_sp._endophyte_N2	ggmotif	1
Cyclobacterium_marinum_DSM_745	Bacteriocin_IId,ggmotif	2
Roseomonas_mucosa_strain_FDAARGOS_658_strain_Not_applicable	Bacteriocin_IIc	1
Klebsiella_oxytoca_C-21-18	Bacteriocin_IIc,ggmotif	2
Kribbella_qitaiheensis_strain_SPB151	Antimicrobial17	1
Mycolicibacterium_celeriflavum_strain_JCM_18439	Linocin_M18	1
Streptococcus_equinus_SheepZ001	Bacteriocin_IIc,ComC	2
Burkholderia_pseudomallei_NCTC_13179	Bacteriocin_IIc,Bacteriocin_IId,ggmotif	3
Mycoplasma_pneumoniae_MAC	Linocin_M18	1
Pseudomonas_sp._SORT22	Bacteriocin_IIc	1
Methanobacterium_curvum_strain_Buetzberg	Linocin_M18	1
Actinobacillus_suis_H91-0380	Lactococcin_972	1
Streptococcus_constellatus_strain_FDAARGOS_1015_strain_Not_applicable	Bacteriocin_IIc,ComC	2
Moritella_viscosa	Bacteriocin_IIc,ComC	2
Chondromyces_crocatus_strain_Cm_c5	Bacteriocin_IIc	1
Pseudomonas_sp._AN-B15	Bacteriocin_IIi	1
Gemmata_obscuriglobus_strain_DSM_5831	Bacteriocin_IIc,Bacteriocin_IIi	2
Kosakonia_sp._MUSA4	Bacteriocin_IIc,Bacteriocin_IId,ggmotif,LE-DUF	4
Lactobacillus_crispatus_KT-11	Bacteriocin_IIc,Bacteriocin_II,ComC,Linocin_M18	4
Listeria_monocytogenes_serotype_1/2a_str._10-1321_strain_10-1321	ComC	1
Pseudoalteromonas_agarivorans_strain_Hao_2018	Bacteriocin_IIc,ComC	2
