"posterior_row","iteration","tree_no","map_within_draw","total_changes","q12","q13","q21","q24","q31","q34","q42","q43"
209,509000,1,1,1470,22,103,189,11,239,306,109,491
210,510000,1,1,1746,37,101,206,12,242,420,108,620
211,511000,1,1,1687,71,94,159,6,257,395,94,611
212,512000,1,1,1761,22,94,182,5,255,441,101,661
213,513000,1,1,1461,35,102,97,2,296,311,69,549
214,514000,1,1,1556,28,103,175,6,265,368,92,519
215,515000,1,1,1663,64,94,206,6,251,384,94,564
216,516000,1,1,1625,36,103,155,7,240,371,93,620
217,517000,1,1,1681,26,118,232,10,217,396,114,568
218,518000,1,1,1509,58,99,204,3,259,287,109,490
219,519000,1,1,1517,33,100,160,2,259,325,74,564
220,520000,1,1,1585,34,104,184,2,240,340,101,580
221,521000,1,1,1604,10,103,192,6,223,414,125,531
222,522000,1,1,1674,55,92,142,7,245,457,92,584
223,523000,1,1,1530,21,114,181,4,272,306,96,536
224,524000,1,1,1547,8,110,185,3,243,373,99,526
225,525000,1,1,1574,11,89,184,7,243,361,106,573
226,526000,1,1,1705,55,115,196,4,251,390,105,589
227,527000,1,1,1589,32,96,172,7,256,338,95,593
228,528000,1,1,1588,37,105,235,9,211,338,118,535
229,529000,1,1,1563,38,98,175,5,232,357,94,564
230,530000,1,1,1502,36,78,139,5,276,328,83,557
231,531000,1,1,1612,47,111,200,4,237,335,105,573
232,532000,1,1,1721,21,82,202,1,230,452,96,637
233,533000,1,1,1574,21,95,201,3,219,367,124,544
234,534000,1,1,1536,11,95,182,4,236,361,123,524
235,535000,1,1,1653,11,92,208,8,239,423,92,580
236,536000,1,1,1575,43,98,150,3,271,363,80,567
237,537000,1,1,1498,47,104,159,3,240,346,102,497
238,538000,1,1,1684,43,104,167,4,264,411,91,600
239,539000,1,1,1612,33,104,171,4,255,397,81,567
240,540000,1,1,1567,47,106,211,1,236,327,111,528
241,541000,1,1,1728,26,91,171,1,254,451,92,642
242,542000,1,1,1573,44,106,196,2,255,346,90,534
243,543000,1,1,1523,23,91,182,10,265,308,99,545
244,544000,1,1,1540,36,107,161,1,252,353,86,544
245,545000,1,1,1811,16,87,176,1,245,503,99,684
246,546000,1,1,1577,51,91,194,3,281,303,87,567
247,547000,1,1,1650,34,87,203,7,236,405,95,583
248,548000,1,1,1648,47,106,147,7,258,409,84,590
249,549000,1,1,1583,50,107,174,7,258,345,86,556
250,550000,1,1,1686,33,101,186,6,248,403,107,602
251,551000,1,1,1428,15,98,180,3,244,277,104,507
252,552000,1,1,1478,33,90,169,4,239,334,102,507
253,553000,1,1,1572,26,104,205,6,239,339,105,548
254,554000,1,1,1520,13,90,170,8,258,352,102,527
255,555000,1,1,1504,11,95,234,6,229,345,118,466
256,556000,1,1,1523,55,108,148,3,263,355,82,509
257,557000,1,1,1716,30,106,197,1,262,412,107,601
258,558000,1,1,1617,18,105,207,0,261,369,103,554
259,559000,1,1,1631,38,95,173,0,247,407,87,584
260,560000,1,1,1597,42,87,185,3,253,372,84,571
261,561000,1,1,1505,45,84,152,9,260,365,87,503
262,562000,1,1,1652,23,118,189,9,260,369,105,579
263,563000,1,1,1578,27,93,156,2,260,390,86,564
264,564000,1,1,1715,37,102,207,6,231,466,111,555
265,565000,1,1,1666,40,94,203,10,258,386,96,579
266,566000,1,1,1794,21,114,163,8,281,489,88,630
267,567000,1,1,1672,43,85,156,2,257,429,99,601
268,568000,1,1,1617,37,100,210,4,249,349,107,561
269,569000,1,1,1605,56,112,168,6,230,359,111,563
270,570000,1,1,1585,61,94,145,9,282,342,81,571
271,571000,1,1,1752,52,99,235,0,214,467,127,558
272,572000,1,1,1556,19,95,173,0,280,334,86,569
273,573000,1,1,1498,42,87,132,0,251,376,94,516
274,574000,1,1,1546,20,99,215,2,241,347,95,527
275,575000,1,1,1503,42,86,199,0,240,352,105,479
276,576000,1,1,1650,41,108,174,6,234,396,113,578
277,577000,1,1,1675,33,89,189,9,250,414,96,595
278,578000,1,1,1574,30,84,169,1,259,391,85,555
279,579000,1,1,1470,38,95,168,3,245,317,92,512
